Age Group,Unique Identifier
0-4,865
5-9,2744
10-14,2478
15-19,5377
20-24,30173
25-29,45739
30-34,47879
35-39,42819
40-44,34345
45-49,23923
50-54,14091
55-59,7337
60-64,3350
65-69,1391
70-74,512
75-79,146
80-84,26
85-89,7
90-94,1
