Citizenship Country,Atlanta Area of Responsibility,Baltimore Area of Responsibility,Boston Area of Responsibility,Buffalo Area of Responsibility,Chicago Area of Responsibility,Dallas Area of Responsibility,Denver Area of Responsibility,Detroit Area of Responsibility,El Paso Area of Responsibility,HQ Area of Responsibility,Harlingen Area of Responsibility,Houston Area of Responsibility,Los Angeles Area of Responsibility,Miami Area of Responsibility,New Orleans Area of Responsibility,New York City Area of Responsibility,Newark Area of Responsibility,Philadelphia Area of Responsibility,Phoenix Area of Responsibility,Salt Lake City Area of Responsibility,San Antonio Area of Responsibility,San Diego Area of Responsibility,San Francisco Area of Responsibility,Seattle Area of Responsibility,St. Paul Area of Responsibility,Washington Area of Responsibility
GUINEA-BISSAU,0.0,0.0,25.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUYANA,11.36,2.27,0.0,27.27,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,2.27,11.36,2.27,15.91,9.09,9.09,0.0,0.0,0.0,0.0,0.0,0.0,2.27,4.55
HAITI,5.03,2.44,8.44,0.65,6.33,0.16,0.32,2.92,0.49,0.0,0.16,0.32,0.49,45.13,3.73,5.84,3.9,7.31,0.32,0.32,0.16,1.79,0.16,0.97,0.81,1.79
HONDURAS,8.8,2.24,1.26,0.16,5.82,8.47,1.38,1.97,0.55,0.0,1.85,14.03,1.45,12.43,13.43,1.36,1.95,1.91,0.6,1.88,9.5,0.13,1.01,0.84,1.98,5.01
HONG KONG,0.0,11.11,11.11,0.0,11.11,0.0,0.0,11.11,0.0,0.0,0.0,11.11,11.11,11.11,0.0,11.11,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUNGARY,0.0,0.0,0.0,17.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,8.7,47.83,0.0,4.35,4.35,4.35,0.0,0.0,0.0,0.0,0.0,0.0,4.35,4.35
INDIA,6.12,0.5,2.12,2.38,10.88,3.38,1.0,3.25,0.38,0.0,0.62,4.62,6.5,3.5,7.12,4.0,4.12,4.5,2.25,0.62,3.25,0.75,18.0,4.5,1.12,4.5
INDONESIA,0.0,2.86,0.0,0.0,0.0,5.71,5.71,2.86,0.0,0.0,0.0,2.86,25.71,2.86,17.14,5.71,2.86,11.43,0.0,5.71,2.86,0.0,0.0,5.71,0.0,0.0
IRAN,1.67,1.67,0.0,2.08,2.08,3.33,3.75,2.5,2.08,0.0,0.0,5.0,28.33,7.5,2.08,5.42,0.83,0.42,4.17,3.33,16.25,1.67,2.92,0.83,0.42,1.67
IRAQ,0.0,0.0,4.26,0.0,14.89,8.51,0.0,8.51,2.13,0.0,0.0,0.0,6.38,2.13,6.38,0.0,0.0,2.13,14.89,6.38,6.38,12.77,2.13,2.13,0.0,0.0
IRELAND,5.26,0.0,23.68,0.0,2.63,7.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.79,5.26,2.63,13.16,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05
ISRAEL,4.88,0.0,0.0,0.0,7.32,7.32,0.0,12.2,0.0,0.0,4.88,4.88,7.32,29.27,4.88,2.44,0.0,2.44,2.44,0.0,2.44,0.0,4.88,0.0,0.0,2.44
ITALY,4.26,4.26,17.02,2.13,4.26,4.26,2.13,2.13,0.0,0.0,0.0,2.13,0.0,27.66,4.26,0.0,6.38,6.38,0.0,8.51,2.13,0.0,0.0,0.0,0.0,2.13
IVORY COAST,26.32,15.79,5.26,0.0,5.26,10.53,0.0,5.26,5.26,0.0,0.0,0.0,0.0,5.26,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,10.53
JAMAICA,8.04,2.45,5.59,4.55,1.4,0.7,0.0,1.05,0.52,0.0,0.0,1.05,1.05,36.89,11.19,8.22,5.59,6.99,0.7,0.35,0.17,0.17,0.17,0.17,0.35,2.62
JAPAN,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0
JORDAN,4.76,0.0,1.59,0.79,10.32,13.49,0.0,5.56,0.79,0.0,0.0,7.94,3.97,11.9,12.7,0.0,3.17,3.17,0.79,0.0,6.35,0.0,1.59,0.79,0.0,10.32
KAZAKHSTAN,0.0,0.0,5.88,5.88,0.0,2.94,0.0,2.94,0.0,0.0,0.0,2.94,14.71,17.65,2.94,2.94,11.76,11.76,0.0,0.0,2.94,2.94,2.94,8.82,0.0,0.0
KENYA,5.36,8.93,5.36,0.0,5.36,12.5,1.79,3.57,0.0,0.0,0.0,5.36,0.0,3.57,12.5,3.57,5.36,3.57,10.71,0.0,1.79,0.0,0.0,7.14,1.79,1.79
KOREA,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOSOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,40.0,0.0,0.0,0.0,20.0,0.0
KUWAIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KYRGYZSTAN,0.0,6.9,0.0,0.0,24.14,0.0,3.45,0.0,0.0,0.0,0.0,0.0,13.79,6.9,10.34,3.45,0.0,17.24,0.0,0.0,0.0,0.0,0.0,6.9,3.45,3.45
LAOS,4.05,0.68,4.73,0.68,6.76,12.16,1.35,0.68,0.68,0.0,0.0,1.35,6.08,3.38,17.57,0.0,0.0,1.35,2.03,2.7,0.0,6.08,17.57,0.0,10.14,0.0
LATVIA,16.67,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,16.67,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEBANON,0.0,0.0,7.41,0.0,3.7,3.7,0.0,22.22,0.0,0.0,0.0,3.7,7.41,3.7,7.41,7.41,0.0,3.7,14.81,0.0,3.7,0.0,3.7,7.41,0.0,0.0
LIBERIA,8.62,6.9,12.07,3.45,6.9,3.45,0.0,0.0,3.45,0.0,0.0,0.0,0.0,1.72,0.0,1.72,5.17,8.62,3.45,0.0,0.0,0.0,0.0,0.0,31.03,3.45
LIBYA,25.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LITHUANIA,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MALAWI,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MALAYSIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MALI,26.92,0.0,0.0,0.0,11.54,0.0,3.85,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23,0.0,11.54,3.85,0.0,3.85,0.0,0.0,3.85,3.85,0.0
MALTA,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARSHALL ISLANDS,0.0,0.0,0.0,0.0,0.0,5.88,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0
MAURITANIA,3.27,0.65,1.96,3.92,4.58,1.31,3.92,13.73,0.0,0.0,0.0,3.27,0.0,0.0,8.5,11.76,0.65,9.8,0.0,0.0,0.0,0.65,0.0,0.65,0.0,31.37
MAURITIUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
MEXICO,8.23,0.6,0.49,0.45,6.66,11.15,2.52,2.14,2.42,0.02,5.97,8.92,6.07,6.77,8.71,0.41,1.13,1.81,6.03,4.68,5.24,2.1,2.51,1.5,2.32,1.17
"MICRONESIA, FEDERATED STATES OF",1.45,0.0,0.0,0.0,2.9,4.35,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,11.59,0.0,0.0,0.0,1.45,0.0,0.0,0.0,59.42,4.35,13.04,0.0
MOLDOVA,26.67,6.67,6.67,0.0,13.33,0.0,0.0,6.67,0.0,0.0,0.0,6.67,0.0,26.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0
MONGOLIA,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,20.0
