Citizenship Country,Apprehension AOR,n_arrests
BAHAMAS,Philadelphia Area of Responsibility,4
BAHAMAS,Salt Lake City Area of Responsibility,3
BAHAMAS,San Antonio Area of Responsibility,1
BAHAMAS,San Francisco Area of Responsibility,1
BAHAMAS,St. Paul Area of Responsibility,1
BAHAMAS,Washington Area of Responsibility,2
BAHRAIN,Los Angeles Area of Responsibility,1
BAHRAIN,Miami Area of Responsibility,1
BANGLADESH,Atlanta Area of Responsibility,1
BANGLADESH,Baltimore Area of Responsibility,2
BANGLADESH,Boston Area of Responsibility,3
BANGLADESH,Buffalo Area of Responsibility,3
BANGLADESH,Dallas Area of Responsibility,2
BANGLADESH,Detroit Area of Responsibility,4
BANGLADESH,Houston Area of Responsibility,2
BANGLADESH,Miami Area of Responsibility,9
BANGLADESH,New Orleans Area of Responsibility,4
BANGLADESH,New York City Area of Responsibility,18
BANGLADESH,Newark Area of Responsibility,3
BANGLADESH,Philadelphia Area of Responsibility,4
BANGLADESH,Salt Lake City Area of Responsibility,1
BANGLADESH,San Francisco Area of Responsibility,1
BANGLADESH,Seattle Area of Responsibility,3
BANGLADESH,Washington Area of Responsibility,5
BARBADOS,Buffalo Area of Responsibility,1
BARBADOS,Miami Area of Responsibility,1
BARBADOS,New Orleans Area of Responsibility,3
BARBADOS,New York City Area of Responsibility,1
BARBADOS,Newark Area of Responsibility,1
BARBADOS,Philadelphia Area of Responsibility,2
BARBADOS,Washington Area of Responsibility,1
BELARUS,Atlanta Area of Responsibility,1
BELARUS,Boston Area of Responsibility,1
BELARUS,Chicago Area of Responsibility,1
BELARUS,Denver Area of Responsibility,2
BELARUS,El Paso Area of Responsibility,1
BELARUS,Miami Area of Responsibility,4
BELARUS,New Orleans Area of Responsibility,1
BELARUS,New York City Area of Responsibility,1
BELARUS,Newark Area of Responsibility,1
BELARUS,Philadelphia Area of Responsibility,2
BELARUS,Seattle Area of Responsibility,3
BELGIUM,Boston Area of Responsibility,1
BELGIUM,Los Angeles Area of Responsibility,1
BELGIUM,Newark Area of Responsibility,1
BELGIUM,Salt Lake City Area of Responsibility,3
BELGIUM,San Diego Area of Responsibility,1
BELGIUM,Seattle Area of Responsibility,1
BELGIUM,St. Paul Area of Responsibility,1
BELIZE,Atlanta Area of Responsibility,3
BELIZE,Baltimore Area of Responsibility,6
BELIZE,Buffalo Area of Responsibility,4
BELIZE,Chicago Area of Responsibility,9
BELIZE,Dallas Area of Responsibility,6
BELIZE,Denver Area of Responsibility,1
BELIZE,El Paso Area of Responsibility,1
BELIZE,Harlingen Area of Responsibility,2
BELIZE,Houston Area of Responsibility,11
BELIZE,Los Angeles Area of Responsibility,21
BELIZE,Miami Area of Responsibility,8
BELIZE,New Orleans Area of Responsibility,12
BELIZE,New York City Area of Responsibility,3
BELIZE,Newark Area of Responsibility,1
BELIZE,Philadelphia Area of Responsibility,3
BELIZE,Phoenix Area of Responsibility,1
BELIZE,Salt Lake City Area of Responsibility,3
BELIZE,San Antonio Area of Responsibility,6
BELIZE,San Diego Area of Responsibility,1
BELIZE,San Francisco Area of Responsibility,9
BELIZE,Seattle Area of Responsibility,1
BELIZE,St. Paul Area of Responsibility,3
BELIZE,Washington Area of Responsibility,4
BENIN,Denver Area of Responsibility,1
BENIN,Harlingen Area of Responsibility,1
BENIN,Newark Area of Responsibility,1
BENIN,Philadelphia Area of Responsibility,1
BHUTAN,Chicago Area of Responsibility,3
BHUTAN,Detroit Area of Responsibility,4
BHUTAN,Houston Area of Responsibility,2
BHUTAN,Philadelphia Area of Responsibility,4
BHUTAN,Salt Lake City Area of Responsibility,1
BHUTAN,Seattle Area of Responsibility,1
BOLIVIA,Atlanta Area of Responsibility,3
BOLIVIA,Baltimore Area of Responsibility,3
BOLIVIA,Boston Area of Responsibility,4
BOLIVIA,Chicago Area of Responsibility,4
BOLIVIA,Dallas Area of Responsibility,2
BOLIVIA,El Paso Area of Responsibility,2
BOLIVIA,Harlingen Area of Responsibility,4
BOLIVIA,Los Angeles Area of Responsibility,1
BOLIVIA,Miami Area of Responsibility,19
BOLIVIA,New Orleans Area of Responsibility,3
BOLIVIA,New York City Area of Responsibility,1
BOLIVIA,Newark Area of Responsibility,6
BOLIVIA,Philadelphia Area of Responsibility,1
BOLIVIA,Salt Lake City Area of Responsibility,1
BOLIVIA,San Antonio Area of Responsibility,2
BOLIVIA,Seattle Area of Responsibility,3
BOLIVIA,St. Paul Area of Responsibility,3
BOLIVIA,Washington Area of Responsibility,58
BOSNIA-HERZEGOVINA,Atlanta Area of Responsibility,4
BOSNIA-HERZEGOVINA,Boston Area of Responsibility,2
BOSNIA-HERZEGOVINA,Buffalo Area of Responsibility,1
BOSNIA-HERZEGOVINA,Chicago Area of Responsibility,13
BOSNIA-HERZEGOVINA,Los Angeles Area of Responsibility,1
BOSNIA-HERZEGOVINA,New Orleans Area of Responsibility,2
BOSNIA-HERZEGOVINA,New York City Area of Responsibility,1
BOSNIA-HERZEGOVINA,Philadelphia Area of Responsibility,2
BOSNIA-HERZEGOVINA,Phoenix Area of Responsibility,2
BOSNIA-HERZEGOVINA,Salt Lake City Area of Responsibility,1
BOSNIA-HERZEGOVINA,San Diego Area of Responsibility,1
BOSNIA-HERZEGOVINA,St. Paul Area of Responsibility,4
BOSNIA-HERZEGOVINA,Washington Area of Responsibility,2
BOTSWANA,Miami Area of Responsibility,2
BRAZIL,Atlanta Area of Responsibility,107
BRAZIL,Baltimore Area of Responsibility,24
BRAZIL,Boston Area of Responsibility,517
BRAZIL,Buffalo Area of Responsibility,23
BRAZIL,Chicago Area of Responsibility,14
BRAZIL,Dallas Area of Responsibility,7
BRAZIL,Denver Area of Responsibility,3
BRAZIL,Detroit Area of Responsibility,20
BRAZIL,El Paso Area of Responsibility,6
BRAZIL,Harlingen Area of Responsibility,83
BRAZIL,Houston Area of Responsibility,3
BRAZIL,Los Angeles Area of Responsibility,2
BRAZIL,Miami Area of Responsibility,269
BRAZIL,New Orleans Area of Responsibility,19
BRAZIL,New York City Area of Responsibility,28
BRAZIL,Newark Area of Responsibility,243
BRAZIL,Philadelphia Area of Responsibility,149
BRAZIL,Phoenix Area of Responsibility,1
BRAZIL,Salt Lake City Area of Responsibility,16
BRAZIL,San Antonio Area of Responsibility,8
BRAZIL,San Diego Area of Responsibility,5
BRAZIL,San Francisco Area of Responsibility,7
BRAZIL,Seattle Area of Responsibility,42
BRAZIL,St. Paul Area of Responsibility,5
BRAZIL,Washington Area of Responsibility,3
BRITISH VIRGIN ISLANDS,Miami Area of Responsibility,3
BRITISH VIRGIN ISLANDS,San Antonio Area of Responsibility,2
BRUNEI,Chicago Area of Responsibility,1
BULGARIA,Baltimore Area of Responsibility,1
BULGARIA,Chicago Area of Responsibility,1
