Citizenship Country,287(g) Program,Anti-Smuggling,Boat Patrol,CAP Federal Incarceration,CAP Local Incarceration,CAP State Incarceration,Crewman/Stowaway,Criminal Alien Program,ERO Reprocessed Arrest,Inspections,Law Enforcement Agency Response Unit,Located,Non-Custodial Arrest,Organized Crime Drug Enforcement Task Force,Other Agency (turned over to INS),Other Task Force,Other efforts,Patrol Border,Patrol Interior,Probation and Parole,Traffic Check,Transportation Check Aircraft,Transportation Check Passenger Train,Worksite Enforcement
HONG KONG,0.0,0.0,0.0,16.67,16.67,50.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUNGARY,5.26,0.0,0.0,10.53,47.37,10.53,0.0,0.0,5.26,0.0,0.0,15.79,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICELAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
INDIA,0.83,0.0,0.0,4.68,18.17,2.48,0.0,0.0,46.15,0.18,0.0,4.59,14.95,0.0,0.0,0.0,6.97,0.28,0.0,0.73,0.0,0.0,0.0,0.0
INDONESIA,4.76,0.0,0.0,0.0,14.29,9.52,0.0,0.0,0.0,0.0,0.0,4.76,61.9,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRAN,0.9,0.0,0.0,50.45,8.11,5.41,0.0,0.0,18.92,0.0,0.0,1.8,9.91,0.0,0.0,0.0,1.8,0.0,0.0,2.7,0.0,0.0,0.0,0.0
IRAQ,0.0,0.0,0.0,12.5,30.36,23.21,0.0,0.0,3.57,0.0,0.0,3.57,17.86,0.0,0.0,0.0,0.0,0.0,0.0,8.93,0.0,0.0,0.0,0.0
IRELAND,5.41,0.0,0.0,8.11,40.54,2.7,0.0,0.0,5.41,0.0,0.0,2.7,35.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISRAEL,4.55,0.0,0.0,20.45,47.73,4.55,0.0,0.0,0.0,0.0,0.0,11.36,11.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITALY,2.94,0.0,0.0,7.35,50.0,4.41,0.0,0.0,5.88,0.0,0.0,17.65,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
