Citizenship Country,287(g) Program,Anti-Smuggling,Boat Patrol,CAP Federal Incarceration,CAP Local Incarceration,CAP State Incarceration,Crewman/Stowaway,Criminal Alien Program,ERO Reprocessed Arrest,Inspections,Law Enforcement Agency Response Unit,Located,Non-Custodial Arrest,Organized Crime Drug Enforcement Task Force,Other Agency (turned over to INS),Other Task Force,Other efforts,Patrol Border,Patrol Interior,Probation and Parole,Traffic Check,Transportation Check Aircraft,Transportation Check Passenger Train,Worksite Enforcement
SYRIA,0.0,0.0,0.0,35.82,8.96,4.48,0.0,0.0,37.31,0.0,0.0,5.97,2.99,0.0,0.0,0.0,1.49,0.0,0.0,2.99,0.0,0.0,0.0,0.0
TAIWAN,0.0,0.0,0.0,5.56,55.56,11.11,0.0,0.0,5.56,0.0,0.0,5.56,11.11,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0
TAJIKISTAN,0.0,0.0,0.0,0.0,3.8,1.27,0.0,0.0,41.77,0.0,0.0,12.66,39.24,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TANZANIA,7.14,0.0,0.0,7.14,50.0,7.14,0.0,0.0,7.14,0.0,0.0,7.14,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THAILAND,0.0,0.0,0.0,6.06,57.58,15.15,0.0,0.0,0.0,0.0,0.0,3.03,15.15,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0
TOGO,0.0,0.0,0.0,14.29,21.43,7.14,0.0,0.0,35.71,0.0,0.0,7.14,7.14,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0
TONGA,0.0,0.0,0.0,0.0,56.25,6.25,0.0,0.0,0.0,0.0,0.0,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRINIDAD AND TOBAGO,0.0,0.0,0.0,14.94,32.18,24.14,0.0,0.0,1.15,0.0,0.0,5.75,16.09,0.0,0.0,0.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,0.0
TUNISIA,14.29,0.0,0.0,14.29,35.71,0.0,0.0,0.0,0.0,0.0,0.0,7.14,21.43,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TURKIYE,2.99,0.0,0.0,11.94,23.88,3.48,0.0,0.0,9.45,0.0,0.0,3.48,37.31,0.0,0.0,0.0,3.98,1.49,0.0,1.99,0.0,0.0,0.0,0.0
TURKS AND CAICOS ISLANDS,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UGANDA,0.0,0.0,0.0,13.33,20.0,13.33,0.0,0.0,6.67,0.0,0.0,0.0,33.33,0.0,0.0,0.0,6.67,0.0,0.0,6.67,0.0,0.0,0.0,0.0
UKRAINE,0.0,0.0,0.0,7.94,33.33,9.52,0.0,0.0,11.11,0.0,0.0,6.35,22.22,0.0,0.0,0.0,7.94,0.0,0.0,1.59,0.0,0.0,0.0,0.0
UNITED ARAB EMIRATES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNITED KINGDOM,2.96,0.0,0.0,18.52,39.26,8.89,0.0,0.0,3.7,0.0,0.0,10.37,11.85,0.0,0.74,0.0,0.74,0.0,0.0,2.96,0.0,0.0,0.0,0.0
URUGUAY,8.33,0.0,0.0,8.33,38.89,5.56,0.0,0.0,5.56,0.0,0.0,11.11,19.44,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0
USSR,11.11,0.0,0.0,33.33,22.22,22.22,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UZBEKISTAN,0.0,0.22,0.0,1.74,5.42,0.87,0.0,0.0,21.26,0.65,0.22,19.74,46.42,0.0,0.22,0.65,1.95,0.0,0.0,0.65,0.0,0.0,0.0,0.0
VENEZUELA,1.25,0.01,0.0,4.0,37.94,0.59,0.0,0.0,9.79,0.1,0.23,4.94,28.77,0.0,0.37,0.08,9.07,2.32,0.0,0.52,0.0,0.0,0.0,0.0
VIETNAM,0.93,0.0,0.0,7.45,35.09,14.29,0.0,0.0,6.21,0.0,0.0,2.17,28.57,0.0,0.31,0.0,3.11,0.0,0.0,1.86,0.0,0.0,0.0,0.0
YEMEN,0.0,0.0,0.0,11.11,11.11,5.56,0.0,0.0,11.11,0.0,0.0,11.11,38.89,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0
YUGOSLAVIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAMBIA,0.0,0.0,0.0,15.38,38.46,15.38,0.0,0.0,0.0,0.0,0.0,0.0,15.38,0.0,7.69,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZIMBABWE,0.0,0.0,0.0,0.0,41.67,8.33,0.0,0.0,8.33,0.0,0.0,0.0,16.67,0.0,0.0,0.0,16.67,0.0,0.0,8.33,0.0,0.0,0.0,0.0
