age_group,Female,Male,Unknown
0-4,346,371,0
5-9,1171,1168,0
10-14,1023,1059,0
15-19,1161,1972,0
20-24,2625,13419,54
25-29,3939,21629,108
30-34,3715,23860,110
35-39,2990,22138,121
40-44,2181,17890,108
45-49,1336,12600,89
50-54,798,7285,41
55-59,401,3786,14
60-64,192,1749,7
65-69,66,733,7
70-74,20,302,1
75-79,7,87,1
80-84,2,16,0
85-89,1,3,0
90-94,0,0,0
95-99,0,0,0
100+,0,0,0
